编号,色名,HEX,H,S,L,色相分类,冷暖属性,同类色,邻近色,互补色,分裂互补,三角色,四角色,冷暖对照,明色搭配,暗色搭配,灰调搭配,中性色搭配,主色,辅色,点缀色,主辅点缀方案,算法说明
001,乳白,#F9F4DC,50,71,92,黄色系,暖,053-蚌肉白 #F9F1DB | 098-粉白 #FBF2E3 | 099-落英淡粉 #F9E8D0,184-初桃粉红 #F6DCCE | 185-介壳淡粉红 #F7CFBA | 171-藕荷 #EDC3AE | 497-嫩菊绿 #F0F5E5,691-云峰灰 #C1C8D6 | 353-淡蓝紫 #A7A8BD | 576-绀青 #4F84FF,588-雾绡 #CDE8F9 | 597-霜华 #D0E7F9 | 602-霜色 #E8F4F8 | 368-远天蓝 #D0DFE6,600-天水碧 #AED9D4 | 680-凝脂莲青 #C6E3E1 | 313-淡牵牛紫 #D1C2D3 | 546-月华 #E0FFFF,705-松花绿 #A0D6B4 | 424-月白 #EEF7F2 | 540-梅子青 #7BC092 | 610-藕丝 #D8B0C8,597-霜华 #D0E7F9 | 588-雾绡 #CDE8F9 | 602-霜色 #E8F4F8,053-蚌肉白 #F9F1DB | 682-奶油白 #FFF8E7 | 098-粉白 #FBF2E3,038-芒果黄 #DDC871 | 039-蒿黄 #DFC243 | 003-茉莉黄 #F8DF72,350-银白 #F1F0ED | 519-珍珠灰 #E4DFD7 | 707-白色 #F8F8F8,350-银白 #F1F0ED | 550-霜白 #F2F3F4 | 351-芡食白 #E2E1E4,001-乳白 #F9F4DC,053-蚌肉白 #F9F1DB | 098-粉白 #FBF2E3,576-绀青 #4F84FF | 597-霜华 #D0E7F9,主色：001-乳白 #F9F4DC；辅色：053-蚌肉白 #F9F1DB | 098-粉白 #FBF2E3；点缀色：576-绀青 #4F84FF | 597-霜华 #D0E7F9,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
328,芦穗灰,#BDAEAD,4,11,71,中性色,中性,655-暖灰 #B7A8A5 | 521-铅灰 #BBB5AC | 414-星灰 #B2BBBE,655-暖灰 #B7A8A5 | 521-铅灰 #BBB5AC | 414-星灰 #B2BBBE,528-云青灰 #8A9A9C | 448-虾壳青 #869D9D | 411-鸥蓝 #C7D2D4,460-草原远绿 #9ABEAF | 462-浪花绿 #92B3A5 | 433-粉绿 #83CBAC | 467-淡绿灰 #70887D,574-缥缃 #A4C2A8 | 531-山岚 #B2C9B2 | 352-远山紫 #CCCCD6 | 476-淡翠绿 #C6DFC8,483-艾绿 #CAD3C3 | 683-浅豆绿 #B2C8A0 | 721-藕荷色 #B5A0C2 | 528-云青灰 #8A9A9C,668-丁香紫 #C8A2C8 | 683-浅豆绿 #B2C8A0 | 458-玉簪绿 #A4CAB6,707-白色 #F8F8F8 | 334-淡藤萝紫 #F2E7E5 | 209-淡绯 #F2CAC9,563-梅红 #B34B43 | 706-灰色 #8A8A8A | 583-檀褐 #8E443D,655-暖灰 #B7A8A5 | 521-铅灰 #BBB5AC | 356-玛瑙灰 #CFCCC9,521-铅灰 #BBB5AC | 414-星灰 #B2BBBE | 655-暖灰 #B7A8A5,328-芦穗灰 #BDAEAD,521-铅灰 #BBB5AC | 655-暖灰 #B7A8A5,433-粉绿 #83CBAC | 448-虾壳青 #869D9D,主色：328-芦穗灰 #BDAEAD；辅色：521-铅灰 #BBB5AC | 655-暖灰 #B7A8A5；点缀色：433-粉绿 #83CBAC | 448-虾壳青 #869D9D,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
329,隐红灰,#B598A1,341,16,65,红色系,暖,276-山黎豆红 #C27C88 | 335-淡青紫 #E0C8D1 | 274-鼠鼻红 #E3B4B8,655-暖灰 #B7A8A5 | 314-凤信紫 #C8ADC4 | 328-芦穗灰 #BDAEAD | 192-淡玫瑰灰 #B89485,572-霜青 #7CB9A8 | 461-梧枝绿 #69A794 | 462-浪花绿 #92B3A5,560-蟹壳青 #86A1A7 | 574-缥缃 #A4C2A8 | 536-月白天青 #C6D7DB | 489-瓦松绿 #6E8B74,718-荠麦绿 #8DB67A | 691-云峰灰 #C1C8D6 | 580-松花 #B6D7A8 | 393-鲸鱼灰 #475164,317-藤萝紫 #8076A3 | 572-霜青 #7CB9A8 | 461-梧枝绿 #69A794 | 462-浪花绿 #92B3A5,462-浪花绿 #92B3A5 | 460-草原远绿 #9ABEAF | 572-霜青 #7CB9A8,335-淡青紫 #E0C8D1 | 309-马鞭草紫 #EDE3E7 | 310-丁香淡紫 #E9D7DF,278-鼠背灰 #73575C | 331-芦灰 #856D72 | 332-暮云灰 #4F383E,655-暖灰 #B7A8A5 | 328-芦穗灰 #BDAEAD | 706-灰色 #8A8A8A,690-高级灰 #9C9CA4 | 447-冰山蓝 #A4ACA7 | 655-暖灰 #B7A8A5,329-隐红灰 #B598A1,655-暖灰 #B7A8A5 | 328-芦穗灰 #BDAEAD,461-梧枝绿 #69A794 | 572-霜青 #7CB9A8,主色：329-隐红灰 #B598A1；辅色：655-暖灰 #B7A8A5 | 328-芦穗灰 #BDAEAD；点缀色：461-梧枝绿 #69A794 | 572-霜青 #7CB9A8,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
330,苋菜紫,#9B1E64,326,68,36,红色系,冷,288-菜头紫 #951C48 | 340-青莲 #8B2671 | 316-玫瑰紫 #BA2F7B,252-苋菜红 #A61B29 | 242-高粱红 #C02C38 | 244-枣红 #7C1823 | 254-暗紫苑红 #82202B,482-孔雀绿 #229453 | 485-宫殿绿 #20894D | 688-青绿 #2E8B57,434-美蝶绿 #12AA9C | 527-蓝翠竹 #4B8F8C | 502-宝石绿 #41AE3C | 681-焦绿 #3B5F3A,371-花青 #2376B7 | 373-虹蓝 #2177B8 | 383-柏林蓝 #126BAE | 416-鷃蓝 #144A74,482-孔雀绿 #229453 | 485-宫殿绿 #20894D | 688-青绿 #2E8B57 | 358-满天星紫 #2E317C,147-岩石棕 #964D22 | 111-山鸡褐 #986524 | 288-菜头紫 #951C48,324-龙须红 #CC5595 | 326-电气石红 #C35691 | 311-丹紫红 #D2568C,304-古铜紫 #440E25 | 294-墨紫 #310F1B | 303-绀紫 #461629,534-烟紫 #704A70 | 344-紫灰 #5D3F51 | 278-鼠背灰 #73575C,469-狼烟灰 #5D655F | 491-田螺绿 #5E665B | 392-鱼尾灰 #5E616D,330-苋菜紫 #9B1E64,288-菜头紫 #951C48 | 340-青莲 #8B2671,482-孔雀绿 #229453 | 688-青绿 #2E8B57,主色：330-苋菜紫 #9B1E64；辅色：288-菜头紫 #951C48 | 340-青莲 #8B2671；点缀色：482-孔雀绿 #229453 | 688-青绿 #2E8B57,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
331,芦灰,#856D72,348,10,47,中性色,中性,525-雁灰 #80766E | 359-锌灰 #7A7374 | 526-深灰 #81776E,525-雁灰 #80766E | 359-锌灰 #7A7374 | 526-深灰 #81776E,464-亚丁绿 #428675 | 461-梧枝绿 #69A794 | 468-飞泉绿 #497568,415-淡蓝灰 #5E7987 | 571-潆青 #6B8E9A | 486-松霜绿 #83A78D | 566-月蓝 #6B8E99,568-松墨 #2E4B26 | 354-山梗紫 #61649F | 355-螺甸紫 #74759B | 405-牛角灰 #2D2E36,318-槿紫 #806D9E | 317-藤萝紫 #8076A3 | 464-亚丁绿 #428675 | 362-龙葵紫 #322F3B,558-烟褐 #8B6D5C | 319-蕈紫 #815C94 | 720-胭脂泪 #9D4E5C,329-隐红灰 #B598A1 | 276-山黎豆红 #C27C88 | 328-芦穗灰 #BDAEAD,281-苍蝇灰 #36282B | 332-暮云灰 #4F383E | 638-緇 #3B3131,359-锌灰 #7A7374 | 706-灰色 #8A8A8A | 525-雁灰 #80766E,525-雁灰 #80766E | 526-深灰 #81776E | 417-嫩灰 #74787A,331-芦灰 #856D72,525-雁灰 #80766E | 526-深灰 #81776E,464-亚丁绿 #428675 | 461-梧枝绿 #69A794,主色：331-芦灰 #856D72；辅色：525-雁灰 #80766E | 526-深灰 #81776E；点缀色：464-亚丁绿 #428675 | 461-梧枝绿 #69A794,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
332,暮云灰,#4F383E,344,17,26,红色系,暖,333-斑鸠灰 #482936 | 347-古鼎灰 #36292F | 281-苍蝇灰 #36282B,164-淡铁灰 #5B423A | 149-石板灰 #624941 | 615-緅 #5C4A43 | 165-中灰驼 #603D30,470-绿灰 #314A43 | 471-苍绿 #223E36 | 472-深海绿 #1A3B32,492-白屈菜绿 #485B4D | 456-灰蓝 #21373D | 582-荷绿 #4A7856 | 566-月蓝 #6B8E99,393-鲸鱼灰 #475164 | 568-松墨 #2E4B26 | 406-燕颔蓝 #131824 | 396-钢蓝 #0F1423,470-绿灰 #314A43 | 471-苍绿 #223E36 | 472-深海绿 #1A3B32 | 468-飞泉绿 #497568,470-绿灰 #314A43 | 713-鸦青色 #2F4F4F | 728-苍筤 #2E5D4A,331-芦灰 #856D72 | 720-胭脂泪 #9D4E5C | 278-鼠背灰 #73575C,282-卵石紫 #30161C | 293-火鹅紫 #33141E | 283-李紫 #2B1216,638-緇 #3B3131 | 548-墨韵黑 #2E2E2E | 614-缁 #2C2C2C,361-剑锋紫 #3E3841 | 693-松烟墨 #3B3A3E | 419-瓦罐灰 #47484C,332-暮云灰 #4F383E,164-淡铁灰 #5B423A | 615-緅 #5C4A43,472-深海绿 #1A3B32 | 728-苍筤 #2E5D4A,主色：332-暮云灰 #4F383E；辅色：164-淡铁灰 #5B423A | 615-緅 #5C4A43；点缀色：472-深海绿 #1A3B32 | 728-苍筤 #2E5D4A,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
333,斑鸠灰,#482936,335,27,22,红色系,暖,345-龙睛鱼紫 #4E2A40 | 291-磨石紫 #382129 | 302-海象紫 #4B1E2F,180-玫瑰灰 #4B2E2B | 181-火山棕 #482522 | 179-海报灰 #483332 | 348-乌梅紫 #1E131D,728-苍筤 #2E5D4A | 732-墨绿 #1A3B2E | 650-青絇繶纯 #3B7A5D,713-鸦青色 #2F4F4F | 617-青组缨 #3B7C7F | 514-油绿 #253D24 | 456-灰蓝 #21373D,628-玄青 #2B3A4F | 420-青灰 #2B333E | 421-鸽蓝 #1C2938 | 533-黛蓝 #2A3C5C,360-野葡萄紫 #302F4B | 728-苍筤 #2E5D4A | 732-墨绿 #1A3B2E | 365-暗蓝紫 #131124,471-苍绿 #223E36 | 470-绿灰 #314A43 | 593-墨玉 #2E4B3A,301-洋葱紫 #A8456B | 658-帝王紫 #7B3F61 | 720-胭脂泪 #9D4E5C,656-墨色 #1D1B1C | 284-茄皮紫 #2D0C13 | 529-黑 #000000,685-芝麻黑 #2E292B | 347-古鼎灰 #36292F | 638-緇 #3B3131,395-沙鱼灰 #35333C | 638-緇 #3B3131 | 362-龙葵紫 #322F3B,333-斑鸠灰 #482936,180-玫瑰灰 #4B2E2B | 345-龙睛鱼紫 #4E2A40,650-青絇繶纯 #3B7A5D | 732-墨绿 #1A3B2E,主色：333-斑鸠灰 #482936；辅色：180-玫瑰灰 #4B2E2B | 345-龙睛鱼紫 #4E2A40；点缀色：650-青絇繶纯 #3B7A5D | 732-墨绿 #1A3B2E,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
334,淡藤萝紫,#F2E7E5,9,33,92,红色系,暖,715-浅杏粉 #F5E6E0 | 258-草珠红 #F8EBE6 | 714-杏粉 #F0D9D0,717-梨花白 #F8F5F0 | 716-米白 #F5F0E6 | 516-汉白玉 #F8F4ED | 335-淡青紫 #E0C8D1,411-鸥蓝 #C7D2D4 | 536-月白天青 #C6D7DB | 425-海天蓝 #C6E6E8,679-白雪藤 #E8F4F0 | 630-竹月 #BCE5D6 | 691-云峰灰 #C1C8D6 | 584-月魄 #E0E7EF,476-淡翠绿 #C6DFC8 | 574-缥缃 #A4C2A8 | 676-紫藤萝 #9B8AE8 | 477-明绿 #9ECCAB,411-鸥蓝 #C7D2D4 | 536-月白天青 #C6D7DB | 498-艾背绿 #DFECD5 | 425-海天蓝 #C6E6E8,584-月魄 #E0E7EF | 679-白雪藤 #E8F4F0 | 407-云峰白 #D8E3E7,258-草珠红 #F8EBE6 | 715-浅杏粉 #F5E6E0 | 309-马鞭草紫 #EDE3E7,655-暖灰 #B7A8A5 | 613-浅绛 #D9A594 | 328-芦穗灰 #BDAEAD,707-白色 #F8F8F8 | 350-银白 #F1F0ED | 519-珍珠灰 #E4DFD7,350-银白 #F1F0ED | 351-芡食白 #E2E1E4 | 550-霜白 #F2F3F4,334-淡藤萝紫 #F2E7E5,717-梨花白 #F8F5F0 | 716-米白 #F5F0E6,425-海天蓝 #C6E6E8 | 630-竹月 #BCE5D6,主色：334-淡藤萝紫 #F2E7E5；辅色：717-梨花白 #F8F5F0 | 716-米白 #F5F0E6；点缀色：425-海天蓝 #C6E6E8 | 630-竹月 #BCE5D6,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
335,淡青紫,#E0C8D1,338,28,83,红色系,暖,325-蓟粉红 #E6D2D5 | 322-芝兰紫 #E9CCD3 | 310-丁香淡紫 #E9D7DF,334-淡藤萝紫 #F2E7E5 | 314-凤信紫 #C8ADC4 | 205-粉红 #F2B9B2 | 655-暖灰 #B7A8A5,630-竹月 #BCE5D6 | 679-白雪藤 #E8F4F0 | 667-浅薄荷绿 #B2F0D9,411-鸥蓝 #C7D2D4 | 476-淡翠绿 #C6DFC8 | 536-月白天青 #C6D7DB | 574-缥缃 #A4C2A8,691-云峰灰 #C1C8D6 | 483-艾绿 #CAD3C3 | 498-艾背绿 #DFECD5 | 580-松花 #B6D7A8,503-海沬绿 #E2E7BF | 630-竹月 #BCE5D6 | 679-白雪藤 #E8F4F0 | 667-浅薄荷绿 #B2F0D9,680-凝脂莲青 #C6E3E1 | 630-竹月 #BCE5D6 | 476-淡翠绿 #C6DFC8,707-白色 #F8F8F8 | 258-草珠红 #F8EBE6 | 733-荼蘼白 #F8F4F0,300-酢酱草红 #C5708B | 285-吊钟花红 #CE5E8A | 329-隐红灰 #B598A1,356-玛瑙灰 #CFCCC9 | 313-淡牵牛紫 #D1C2D3 | 707-白色 #F8F8F8,352-远山紫 #CCCCD6 | 390-银鱼白 #CDD1D3 | 411-鸥蓝 #C7D2D4,335-淡青紫 #E0C8D1,325-蓟粉红 #E6D2D5 | 310-丁香淡紫 #E9D7DF,630-竹月 #BCE5D6 | 667-浅薄荷绿 #B2F0D9,主色：335-淡青紫 #E0C8D1；辅色：325-蓟粉红 #E6D2D5 | 310-丁香淡紫 #E9D7DF；点缀色：630-竹月 #BCE5D6 | 667-浅薄荷绿 #B2F0D9,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
336,青蛤壳紫,#BC84A8,321,29,63,红色系,冷,315-萝兰紫 #C08EAF | 327-樱草紫 #C06F98 | 337-豆蔻紫 #AD6598,276-山黎豆红 #C27C88 | 703-茜裙 #C75A6B | 325-蓟粉红 #E6D2D5 | 738-胭脂晕 #C94A5E,540-梅子青 #7BC092 | 705-松花绿 #A0D6B4 | 477-明绿 #9ECCAB,600-天水碧 #AED9D4 | 499-嘉陵水绿 #ADD5A2 | 572-霜青 #7CB9A8 | 680-凝脂莲青 #C6E3E1,662-烟蓝 #7BA4B8 | 398-晴山蓝 #8FB2C9 | 633-茶粉绿 #B8C7A0 | 376-涧石蓝 #66A9C9,540-梅子青 #7BC092 | 551-秋香 #C3B787 | 044-月灰 #B7AE8F | 705-松花绿 #A0D6B4,044-月灰 #B7AE8F | 551-秋香 #C3B787 | 067-银鼠灰 #B5AA90,610-藕丝 #D8B0C8 | 310-丁香淡紫 #E9D7DF | 335-淡青紫 #E0C8D1,341-芓紫 #894276 | 658-帝王紫 #7B3F61 | 344-紫灰 #5D3F51,329-隐红灰 #B598A1 | 706-灰色 #8A8A8A | 690-高级灰 #9C9CA4,690-高级灰 #9C9CA4 | 465-镍灰 #9FA39A | 522-中灰 #A49C93,336-青蛤壳紫 #BC84A8,315-萝兰紫 #C08EAF | 276-山黎豆红 #C27C88,705-松花绿 #A0D6B4 | 540-梅子青 #7BC092,主色：336-青蛤壳紫 #BC84A8；辅色：315-萝兰紫 #C08EAF | 276-山黎豆红 #C27C88；点缀色：705-松花绿 #A0D6B4 | 540-梅子青 #7BC092,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
337,豆蔻紫,#AD6598,318,31,54,红色系,冷,338-扁豆紫 #A35C8F | 327-樱草紫 #C06F98 | 336-青蛤壳紫 #BC84A8,720-胭脂泪 #9D4E5C | 573-烟萦紫 #8A4B9C | 276-山黎豆红 #C27C88 | 331-芦灰 #856D72,486-松霜绿 #83A78D | 698-新绿 #6CC788 | 540-梅子青 #7BC092,461-梧枝绿 #69A794 | 572-霜青 #7CB9A8 | 464-亚丁绿 #428675 | 499-嘉陵水绿 #ADD5A2,662-烟蓝 #7BA4B8 | 376-涧石蓝 #66A9C9 | 571-潆青 #6B8E9A | 375-秋波蓝 #8ABCD1,045-淡灰绿 #AD9E5F | 551-秋香 #C3B787 | 659-暗金 #9C8B4D | 046-草灰绿 #8E804B,045-淡灰绿 #AD9E5F | 631-银褐 #A88A6F | 068-尘灰 #B6A476,610-藕丝 #D8B0C8 | 315-萝兰紫 #C08EAF | 314-凤信紫 #C8ADC4,345-龙睛鱼紫 #4E2A40 | 344-紫灰 #5D3F51 | 341-芓紫 #894276,706-灰色 #8A8A8A | 692-檀香紫 #8A6E8B | 359-锌灰 #7A7374,706-灰色 #8A8A8A | 692-檀香紫 #8A6E8B | 144-银灰 #918072,337-豆蔻紫 #AD6598,338-扁豆紫 #A35C8F | 327-樱草紫 #C06F98,698-新绿 #6CC788 | 540-梅子青 #7BC092,主色：337-豆蔻紫 #AD6598；辅色：338-扁豆紫 #A35C8F | 327-樱草紫 #C06F98；点缀色：698-新绿 #6CC788 | 540-梅子青 #7BC092,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
338,扁豆紫,#A35C8F,317,28,50,红色系,冷,337-豆蔻紫 #AD6598 | 341-芓紫 #894276 | 327-樱草紫 #C06F98,573-烟萦紫 #8A4B9C | 720-胭脂泪 #9D4E5C | 331-芦灰 #856D72 | 277-锦葵红 #BF3553,486-松霜绿 #83A78D | 582-荷绿 #4A7856 | 477-明绿 #9ECCAB,464-亚丁绿 #428675 | 461-梧枝绿 #69A794 | 572-霜青 #7CB9A8 | 568-松墨 #2E4B26,571-潆青 #6B8E9A | 566-月蓝 #6B8E99 | 415-淡蓝灰 #5E7987 | 662-烟蓝 #7BA4B8,659-暗金 #9C8B4D | 046-草灰绿 #8E804B | 045-淡灰绿 #AD9E5F | 486-松霜绿 #83A78D,045-淡灰绿 #AD9E5F | 110-猴毛灰 #97846C | 659-暗金 #9C8B4D,315-萝兰紫 #C08EAF | 314-凤信紫 #C8ADC4 | 336-青蛤壳紫 #BC84A8,345-龙睛鱼紫 #4E2A40 | 346-荸荠紫 #411C35 | 343-牵牛紫 #681752,692-檀香紫 #8A6E8B | 359-锌灰 #7A7374 | 331-芦灰 #856D72,692-檀香紫 #8A6E8B | 544-烟青 #708090 | 331-芦灰 #856D72,338-扁豆紫 #A35C8F,337-豆蔻紫 #AD6598 | 720-胭脂泪 #9D4E5C,477-明绿 #9ECCAB | 582-荷绿 #4A7856,主色：338-扁豆紫 #A35C8F；辅色：337-豆蔻紫 #AD6598 | 720-胭脂泪 #9D4E5C；点缀色：477-明绿 #9ECCAB | 582-荷绿 #4A7856,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
339,芥花紫,#983680,315,48,40,红色系,冷,340-青莲 #8B2671 | 341-芓紫 #894276 | 342-葛巾紫 #7E2065,626-绛紫 #8E354A | 573-烟萦紫 #8A4B9C | 725-猩红 #BC1E46 | 277-锦葵红 #BF3553,582-荷绿 #4A7856 | 492-白屈菜绿 #485B4D | 489-瓦松绿 #6E8B74,464-亚丁绿 #428675 | 459-青矾绿 #2C9678 | 463-海王绿 #248067 | 440-竹绿 #1BA784,385-钴蓝 #1A94BC | 409-云山蓝 #2F90B9 | 386-鸢尾蓝 #158BB8 | 571-潆青 #6B8E9A,545-苍碧 #2A52BE | 070-鲛青 #87723E | 046-草灰绿 #8E804B | 582-荷绿 #4A7856,146-淡咖啡 #945833 | 070-鲛青 #87723E | 642-皮弁 #8B5D33,336-青蛤壳紫 #BC84A8 | 315-萝兰紫 #C08EAF | 337-豆蔻紫 #AD6598,346-荸荠紫 #411C35 | 343-牵牛紫 #681752 | 645-缁带 #2E2A2D,278-鼠背灰 #73575C | 534-烟紫 #704A70 | 535-暮山紫 #6E4D7E,392-鱼尾灰 #5E616D | 453-夏云灰 #617172 | 469-狼烟灰 #5D655F,339-芥花紫 #983680,341-芓紫 #894276 | 626-绛紫 #8E354A,459-青矾绿 #2C9678 | 440-竹绿 #1BA784,主色：339-芥花紫 #983680；辅色：341-芓紫 #894276 | 626-绛紫 #8E354A；点缀色：459-青矾绿 #2C9678 | 440-竹绿 #1BA784,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
340,青莲,#8B2671,315,57,35,红色系,冷,342-葛巾紫 #7E2065 | 339-芥花紫 #983680 | 321-魏紫 #7E1671,626-绛紫 #8E354A | 725-猩红 #BC1E46 | 277-锦葵红 #BF3553 | 573-烟萦紫 #8A4B9C,582-荷绿 #4A7856 | 492-白屈菜绿 #485B4D | 489-瓦松绿 #6E8B74,463-海王绿 #248067 | 459-青矾绿 #2C9678 | 440-竹绿 #1BA784 | 464-亚丁绿 #428675,385-钴蓝 #1A94BC | 409-云山蓝 #2F90B9 | 454-苍蓝 #134857 | 386-鸢尾蓝 #158BB8,545-苍碧 #2A52BE | 076-棕榈绿 #5B4913 | 075-暗海水绿 #584717 | 047-苔绿 #887322,091-莱阳梨黄 #815F25 | 047-苔绿 #887322 | 162-淡豆沙 #873D24,337-豆蔻紫 #AD6598 | 324-龙须红 #CC5595 | 338-扁豆紫 #A35C8F,346-荸荠紫 #411C35 | 349-深牵牛紫 #1C0D1A | 645-缁带 #2E2A2D,534-烟紫 #704A70 | 344-紫灰 #5D3F51 | 278-鼠背灰 #73575C,469-狼烟灰 #5D655F | 392-鱼尾灰 #5E616D | 491-田螺绿 #5E665B,340-青莲 #8B2671,342-葛巾紫 #7E2065 | 339-芥花紫 #983680,459-青矾绿 #2C9678 | 440-竹绿 #1BA784,主色：340-青莲 #8B2671；辅色：342-葛巾紫 #7E2065 | 339-芥花紫 #983680；点缀色：459-青矾绿 #2C9678 | 440-竹绿 #1BA784,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
341,芓紫,#894276,316,35,40,红色系,冷,658-帝王紫 #7B3F61 | 339-芥花紫 #983680 | 338-扁豆紫 #A35C8F,626-绛紫 #8E354A | 573-烟萦紫 #8A4B9C | 720-胭脂泪 #9D4E5C | 278-鼠背灰 #73575C,582-荷绿 #4A7856 | 492-白屈菜绿 #485B4D | 486-松霜绿 #83A78D,464-亚丁绿 #428675 | 568-松墨 #2E4B26 | 468-飞泉绿 #497568 | 459-青矾绿 #2C9678,623-黛青山 #2E5A6F | 571-潆青 #6B8E9A | 409-云山蓝 #2F90B9 | 566-月蓝 #6B8E99,582-荷绿 #4A7856 | 046-草灰绿 #8E804B | 659-暗金 #9C8B4D | 070-鲛青 #87723E,070-鲛青 #87723E | 089-龟背黄 #826B48 | 636-荞麦棕 #8B6D47,336-青蛤壳紫 #BC84A8 | 315-萝兰紫 #C08EAF | 337-豆蔻紫 #AD6598,346-荸荠紫 #411C35 | 645-缁带 #2E2A2D | 345-龙睛鱼紫 #4E2A40,278-鼠背灰 #73575C | 534-烟紫 #704A70 | 359-锌灰 #7A7374,392-鱼尾灰 #5E616D | 453-夏云灰 #617172 | 469-狼烟灰 #5D655F,341-芓紫 #894276,658-帝王紫 #7B3F61 | 573-烟萦紫 #8A4B9C,459-青矾绿 #2C9678 | 582-荷绿 #4A7856,主色：341-芓紫 #894276；辅色：658-帝王紫 #7B3F61 | 573-烟萦紫 #8A4B9C；点缀色：459-青矾绿 #2C9678 | 582-荷绿 #4A7856,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
342,葛巾紫,#7E2065,316,59,31,红色系,冷,340-青莲 #8B2671 | 343-牵牛紫 #681752 | 321-魏紫 #7E1671,626-绛紫 #8E354A | 279-甘蔗紫 #621624 | 277-锦葵红 #BF3553 | 725-猩红 #BC1E46,492-白屈菜绿 #485B4D | 582-荷绿 #4A7856 | 485-宫殿绿 #20894D,463-海王绿 #248067 | 440-竹绿 #1BA784 | 441-蓝绿 #12A182 | 459-青矾绿 #2C9678,623-黛青山 #2E5A6F | 409-云山蓝 #2F90B9 | 454-苍蓝 #134857 | 386-鸢尾蓝 #158BB8,047-苔绿 #887322 | 076-棕榈绿 #5B4913 | 075-暗海水绿 #584717 | 048-碧螺春绿 #867018,092-蜴蜊绿 #835E1D | 047-苔绿 #887322 | 091-莱阳梨黄 #815F25,337-豆蔻紫 #AD6598 | 338-扁豆紫 #A35C8F | 324-龙须红 #CC5595,349-深牵牛紫 #1C0D1A | 346-荸荠紫 #411C35 | 348-乌梅紫 #1E131D,344-紫灰 #5D3F51 | 534-烟紫 #704A70 | 332-暮云灰 #4F383E,419-瓦罐灰 #47484C | 455-黄昏灰 #474B4C | 554-鸦青 #424B50,342-葛巾紫 #7E2065,340-青莲 #8B2671 | 321-魏紫 #7E1671,485-宫殿绿 #20894D | 459-青矾绿 #2C9678,主色：342-葛巾紫 #7E2065；辅色：340-青莲 #8B2671 | 321-魏紫 #7E1671；点缀色：485-宫殿绿 #20894D | 459-青矾绿 #2C9678,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
